ID	AffiliatedApex	TaskDesc	Priority	TaskCondition	TaskConditionPara	TaskCompleteType	IsRookieComplete	TaskReward	NotifyBattleServer	UnlockCondition	ConditionPara
1001	1	[自走棋]首次招募武将	3	1	{'Count': 1}	1	1	[{'ItemID': 401202402, 'Num': 10}]	0		
1002	1	[自走棋]招募2名武将	2	1	{'Count': 2}	1	1	[{'ItemID': 401202402, 'Num': 10}]	0		
1003	1	[自走棋]招募3名武将	2	1	{'Count': 3}	1	0	[{'ItemID': 401202402, 'Num': 10}]	0	2	1002
1004	1	[自走棋]招募10名武将	2	1	{'Count': 10}	1	0	[{'ItemID': 401202402, 'Num': 20}]	0	2	1003
1005	1	[自走棋]招募50名武将	2	1	{'Count': 50}	1	0	[{'ItemID': 401202402, 'Num': 50}]	0	2	1004
1006	1	[自走棋]招募120名武将	1	1	{'Count': 120}	1	0	[{'ItemID': 401202402, 'Num': 80}]	0	2	1005
2001	2	[自走棋]首次上阵武将	3	2	{'Count': 1}	1	1	[{'ItemID': 401202402, 'Num': 10}]	0		
2002	2	[自走棋]上阵2名武将	1	2	{'Count': 2}	1	1	[{'ItemID': 401202402, 'Num': 20}]	0		
3001	3	[自走棋]合成1名金色武将	3	3	{'Count': 1}	2	1	[{'ItemID': 401202402, 'Num': 10}]	0		
3002	3	[自走棋]合成2名金色武将	2	3	{'Count': 2}	2	0	[{'ItemID': 401202402, 'Num': 20}]	0	2	3001
3003	3	[自走棋]合成3名金色武将	2	3	{'Count': 3}	2	0	[{'ItemID': 401202402, 'Num': 30}]	0	2	3002
3004	3	[自走棋]合成10名金色武将	1	3	{'Count': 10}	2	0	[{'ItemID': 401202402, 'Num': 50}]	0	2	3003
4001	4	[自走棋]击败1名敌方武将	2	4	{'Count': 1}	1	1	[{'ItemID': 401202402, 'Num': 10}]	1		
4002	4	[自走棋]击败3名敌方武将	2	4	{'Count': 3}	1	1	[{'ItemID': 401202402, 'Num': 10}]	1		
4003	4	[自走棋]击败6名敌方武将	2	4	{'Count': 6}	1	1	[{'ItemID': 401202402, 'Num': 10}]	1		
5001	5	[自走棋]首次升级营帐	3	5	{'Count': 1}	1	0	[{'ItemID': 401202402, 'Num': 10}]	0		
5002	5	[自走棋]升级2次营帐	2	5	{'Count': 2}	1	0	[{'ItemID': 401202402, 'Num': 10}]	0	2	5001
5003	5	[自走棋]升级5次营帐	2	5	{'Count': 5}	1	0	[{'ItemID': 401202402, 'Num': 20}]	0	2	5002
5004	5	[自走棋]升级10次营帐	1	5	{'Count': 10}	1	0	[{'ItemID': 401202402, 'Num': 50}]	0	2	5003
6001	6	[自走棋]营帐到达3级	3	6	{'Count': 1, 'ChessRank': 3}	1	0	[{'ItemID': 401202402, 'Num': 10}]	0	2	5001
6002	6	[自走棋]营帐到达5级	1	6	{'Count': 1, 'ChessRank': 5}	1	0	[{'ItemID': 401202402, 'Num': 10}]	0	2	6001
6003	6	[自走棋]营帐到达6级	1	6	{'Count': 1, 'ChessRank': 6}	1	0	[{'ItemID': 401202402, 'Num': 20}]	0	2	6002
7001	7	[自走棋]使用1张锦囊牌	3	7	{'Count': 1}	1	0	[{'ItemID': 401202402, 'Num': 10}]	0	2	5001
7002	7	[自走棋]使用2张锦囊牌	1	7	{'Count': 2}	1	0	[{'ItemID': 401202402, 'Num': 10}]	0	2	7001
7003	7	[自走棋]使用5张锦囊牌	1	7	{'Count': 5}	1	0	[{'ItemID': 401202402, 'Num': 20}]	0	2	7002
7004	7	[自走棋]使用10张锦囊牌	1	7	{'Count': 10}	1	0	[{'ItemID': 401202402, 'Num': 40}]	0	2	7003
8001	8	[自走棋]对敌方主公累计造成15点伤害	3	8	{'Count': 15}	1	0	[{'ItemID': 401202402, 'Num': 10}]	1		
8002	8	[自走棋]对敌方主公累计造成30点伤害	2	8	{'Count': 30}	1	0	[{'ItemID': 401202402, 'Num': 20}]	1	2	8001
8003	8	[自走棋]对敌方主公累计造成90点伤害	2	8	{'Count': 90}	1	0	[{'ItemID': 401202402, 'Num': 30}]	1	2	8002
8004	8	[自走棋]对敌方主公累计造成120点伤害	1	8	{'Count': 120}	1	0	[{'ItemID': 401202402, 'Num': 50}]	1	2	8003
9001	9	[自走棋]淘汰1名敌方主公	1	9	{'Count': 1}	2	0	[{'ItemID': 401202402, 'Num': 10}]	0		
9002	9	[自走棋]淘汰2名敌方主公	1	9	{'Count': 2}	2	0	[{'ItemID': 401202402, 'Num': 20}]	0	2	9001
9003	9	[自走棋]淘汰4名敌方主公	1	9	{'Count': 4}	2	0	[{'ItemID': 401202402, 'Num': 30}]	0	2	9002
9004	9	[自走棋]淘汰8名敌方主公	1	9	{'Count': 8}	2	0	[{'ItemID': 401202402, 'Num': 50}]	0	2	9003
10001	10	[自走棋]武将攻击首次达到100	2	10	{'Count': 100}	2	0	[{'ItemID': 401202402, 'Num': 10}]	0		
10002	10	[自走棋]武将攻击首次达到200	1	10	{'Count': 200}	2	0	[{'ItemID': 401202402, 'Num': 20}]	0	2	10001
10003	10	[自走棋]武将攻击首次达到300	1	10	{'Count': 300}	2	0	[{'ItemID': 401202402, 'Num': 30}]	0	2	10002
11001	11	[自走棋]武将体力首次达到100	1	11	{'Count': 100}	2	0	[{'ItemID': 401202402, 'Num': 50}]	0		
11002	11	[自走棋]武将体力首次达到200	1	11	{'Count': 200}	2	0	[{'ItemID': 401202402, 'Num': 60}]	0	2	11001
11003	11	[自走棋]武将体力首次达到300	3	11	{'Count': 300}	2	0	[{'ItemID': 401202402, 'Num': 80}]	0	2	11002
12001	12	[自走棋]使用刘备完成一局三国杀自走棋	2	12	{'Count': 1, 'GeneralID': 1006}	2	0	[{'ItemID': 401202402, 'Num': 200}]	0		
13001	13	[自走棋]首次获得战斗胜利	2	13	{'Count': 1}	1	0	[{'ItemID': 401202402, 'Num': 10}]	1		
13002	13	[自走棋]获得3次战斗胜利	1	13	{'Count': 3}	1	0	[{'ItemID': 401202402, 'Num': 60}]	1	2	13001
13003	13	[自走棋]获得5次战斗胜利	1	13	{'Count': 5}	1	0	[{'ItemID': 401202402, 'Num': 100}]	1	2	13002
14001	14	[自走棋]上阵武将首次发动攻击	2	14	{'Count': 1}	2	1	[{'ItemID': 401202402, 'Num': 100}]	0		
14002	14	[自走棋]首次点击准备按钮	2	14	{'Count': 1}	2	1	[{'ItemID': 401202402, 'Num': 100}]	0		
14003	14	[自走棋]上阵1名金色武将	2	14	{'Count': 1}	2	1	[{'ItemID': 401202402, 'Num': 200}]	0		
14004	14	[自走棋]吕布一次击杀3名敌方武将	2	14	{'Count': 1}	2	1	[{'ItemID': 401202402, 'Num': 200}]	0		
14005	14	[自走棋]完成新手引导	4	14	{'Count': 1}	2	1	[{'ItemID': 401202415, 'Num': 1}]	0		
15001	15	[自走棋]首次调换场上位置	2	15	{'Count': 1}	1	0	[{'ItemID': 401202402, 'Num': 100}]	0		
16001	16	[自走棋]首次遣散一名武将	2	16	{'Count': 1}	1	0	[{'ItemID': 401202402, 'Num': 100}]	0		
17001	17	[自走棋]首次锁定营帐	1	17	{'Count': 1}	1	0	[{'ItemID': 401202402, 'Num': 100}]	0		
18001	18	[自走棋]首次查看主公信息	1	18	{'Count': 1}	1	0	[{'ItemID': 401202402, 'Num': 100}]	0	2	1003
